,city,Temp,Humidity,Cloudiness,Wind,Country,Lat,Lon,Date
0,porirua,14.23,66.0,24.0,9.89,NZ,-41.1333,174.85,1653101463.0
1,itum-kale,6.91,87.0,36.0,1.95,RU,42.7356,45.5758,1653101463.0
2,nguiu,,,,,,,,
3,barentsburg,,,,,,,,
4,busselton,19.91,57.0,3.0,4.48,AU,-33.65,115.3333,1653101464.0
5,bredasdorp,10.02,84.0,37.0,2.74,ZA,-34.5322,20.0403,1653101464.0
6,port alfred,16.0,75.0,100.0,2.33,ZA,-33.5906,26.891,1653101465.0
7,kapaa,24.51,91.0,36.0,1.34,US,22.0752,-159.319,1653101465.0
8,sioux lookout,1.16,99.0,100.0,2.52,CA,50.1001,-91.917,1653101465.0
9,torbay,4.22,84.0,14.0,0.45,CA,47.6666,-52.7314,1653101466.0
10,hobart,11.14,76.0,11.0,0.45,AU,-42.8794,147.3294,1653101103.0
11,luderitz,10.13,72.0,0.0,4.4,NA,-26.6481,15.1594,1653101466.0
12,campo de criptana,18.59,45.0,93.0,7.78,ES,39.4046,-3.1249,1653101466.0
13,ust-maya,8.99,47.0,99.0,3.72,RU,60.4167,134.5333,1653101467.0
14,cayenne,23.94,1.0,100.0,4.9,GF,4.9333,-52.3333,1653101373.0
15,kirovskiy,24.22,41.0,100.0,3.01,RU,45.0917,133.5136,1653101467.0
16,klaksvik,8.94,96.0,100.0,5.64,FO,62.2266,-6.589,1653101467.0
17,mar del plata,10.53,81.0,95.0,0.89,AR,-38.0023,-57.5575,1653101350.0
18,sept-iles,8.36,76.0,100.0,0.89,CA,50.2001,-66.3821,1653101468.0
19,ouegoa,26.71,76.0,58.0,2.75,NC,-20.35,164.4333,1653101292.0
20,jamestown,21.72,86.0,100.0,1.34,US,42.097,-79.2353,1653101342.0
21,mahebourg,23.47,76.0,36.0,7.52,MU,-20.4081,57.7,1653101468.0
22,mersing,31.0,63.0,20.0,1.72,MY,2.4312,103.8405,1653101468.0
23,bluff,8.05,76.0,94.0,15.83,NZ,-46.6,168.3333,1653101469.0
